Date,S&P500,AAL,ALGT,ALK,DAL,HA,LUV,BCS,CS,DB,GS,MS,WFC,BHC,JNJ,MRK,PFE,RHHBY,UNH,AAPL,AMZN,FB,GOOG,IBM,MSFT
16-03-2020,2386.1298829999996,15.92,88.019997,32.529999,35.810001,13.16,37.52,4.22,6.67,5.48,154.66000400000001,31.65,26.5,14.96,127.129997,69.91999799999999,30.18,37.34,225.039993,60.552502000000004,1689.1500239999998,146.009995,1084.329956,99.08000200000001,135.419998
17-03-2020,2529.189941,15.58,103.529999,32.529999,31.74,12.19,38.25,4.25,7.24,5.79,158.669998,33.790001000000004,29.629998999999998,14.71,136.58999599999999,74.480003,32.16,39.290001000000004,244.22000099999997,63.215,1807.839966,149.419998,1119.800049,106.650002,146.570007
18-03-2020,2398.100098,11.65,74.199997,25.129998999999998,23.49,8.96,35.150002,3.87,6.85,5.56,140.020004,30.75,28.120001000000002,12.98,134.96000700000002,71.629997,32.360001000000004,37.709998999999996,217.059998,61.6675,1830.0,146.96000700000002,1096.800049,103.550003,140.399994
19-03-2020,2409.389893,10.29,72.5,24.18,21.51,8.63,30.860001,3.93,7.5,5.86,149.490005,30.92,28.290001,14.13,127.050003,70.730003,30.42,38.950001,219.80000299999998,61.195,1880.930054,153.130005,1115.290039,100.339996,142.71000700000002
20-03-2020,2304.919922,10.38,68.82,23.559998999999998,21.35,8.65,31.940001000000002,4.01,7.0,5.76,138.41000400000001,29.67,26.5,13.66,119.889999,71.360001,29.01,36.09,206.58999599999999,57.310001,1846.089966,149.729996,1072.319946,95.389999,137.350006
23-03-2020,2237.399902,10.25,71.709999,24.030001000000002,22.219998999999998,8.77,33.73,3.84,6.73,5.84,134.970001,27.809998999999998,25.25,13.27,111.139999,66.400002,28.49,35.259997999999996,194.860001,56.092499,1902.8299559999998,148.100006,1056.619995,94.769997,135.979996
24-03-2020,2447.330078,13.92,92.68,28.91,26.889999,10.21,37.66,4.42,7.83,6.58,153.600006,33.220001,28.92,14.91,119.18,69.050003,29.700001,37.169998,219.80000299999998,61.720001,1940.0999760000002,160.979996,1134.459961,105.480003,148.33999599999999
25-03-2020,2475.560059,15.39,92.540001,29.84,31.1,12.72,39.400002,4.91,8.26,6.88,155.130005,33.990002000000004,28.969998999999998,15.77,119.400002,68.220001,29.75,37.290001000000004,234.49000499999997,61.380001,1885.839966,156.21000700000002,1102.48999,105.849998,146.919998
26-03-2020,2630.070068,15.66,97.209999,32.490002000000004,31.700001,12.6,41.23,5.17,8.89,6.99,165.78999299999998,35.709998999999996,30.9,15.44,126.57,73.529999,31.75,38.779999,255.38999900000002,64.610001,1955.4899899999998,163.33999599999999,1161.75,112.889999,156.110001
27-03-2020,2541.469971,14.04,90.910004,29.870001000000002,29.549999,11.07,36.380001,4.82,8.33,6.47,158.33999599999999,34.009997999999996,30.280001000000002,14.51,123.160004,71.730003,30.9,38.970001,242.44999700000002,61.935001,1900.0999760000002,156.78999299999998,1110.709961,108.029999,149.699997
30-03-2020,2626.649902,12.25,84.989998,28.33,28.67,10.6,35.099998,4.65,8.38,6.51,159.619995,34.84,29.92,15.25,133.009995,76.949997,32.669998,40.880001,251.27999900000003,63.702498999999996,1963.949951,165.949997,1146.819946,112.93,160.229996
